인공지능의 위험성,인공지능 관련 뉴스를 접하는 빈도  ,기술 발전으로 인해 자신의 직업이나 미래의 직업에서 위협을 받을 가능성에 대해 어떻게 생각하는가?  ,인공지능 관련 규제가 필요하다고 생각하는가?  ,인공지능을 사용할 때 얼마나 신뢰할 수 있다고 생각하는가?  ,인공지능 기술에 대해 얼마나 알고 있는가?  ,인공지능이 사회에 미칠 수 있는 주요 위험 요소는 무엇이라고 생각하는가?  ,8열
인공지능의 위험성이 있지만 생각보다 크지 않을 것이다.,가끔,내 직업이 변화할 수 도 있지만 크게 문제는 없다.,인공지능의 규제는 지금 당장 필요하다.,간단한 업무를 할때 정도는 신뢰해도 괜찮다고 생각한다.,인공지능 모델을 이용해서 간단한 학습을 시켜봤다.,윤리적 문제,
인공지능의 위험성은 굉장히 클 것 이다.,자주,인공지능이 내 직업을 빼앗고 실업자가 될 수 있을 수도 있다.,인공지능의 규제는 지금 당장 필요하다.,거짓 정보에 대한 진실을 파악하기가 힘들기 때문에 신뢰하기가 힘들다.,인공지능 모델을 이용해서 간단한 학습을 시켜봤다.,사생활 침해,
인공지능의 위험성이 있지만 생각보다 크지 않을 것이다.,자주,인공지능에 의해 직업을 빼앗기진 않지만 많은 업무를 인공지능이 대신 할 것이다.,인공지능은 창작의 영역이기 때문에 규제가 크게 필요하지는 않다.,간단한 업무를 할때 정도는 신뢰해도 괜찮다고 생각한다.,인공지능 모델을 이용해서 간단한 학습을 시켜봤다.,윤리적 문제,
인공지능의 위험성은 굉장히 클 것 이다.,가끔,내 직업이 변화할 수 도 있지만 크게 문제는 없다.,인공지능의 규제는 인공지능의 발전을 저하시키기 때문에 거의 사용되면 안된다.,과학과 역사와 정확한 진실이 필요한 일에 사용해도 큰 무리는 없다.,gpt와 같은 인공지능을 사용해봤다.,사생활 침해,
인공지능의 위험성이 있지만 생각보다 크지 않을 것이다.,자주,인공지능에 의해 직업을 빼앗기진 않지만 많은 업무를 인공지능이 대신 할 것이다.,인공지능은 창작의 영역이기 때문에 규제가 크게 필요하지는 않다.,간단한 업무를 할때 정도는 신뢰해도 괜찮다고 생각한다.,gpt와 같은 인공지능을 사용해봤다.,실업률 증가,
잘 예방한다면 충분히 막을 수 있다.,가끔,내 직업이 변화할 수 도 있지만 크게 문제는 없다.,인공지능은 창작의 영역이기 때문에 규제가 크게 필요하지는 않다.,과학과 역사와 정확한 진실이 필요한 일에 사용해도 큰 무리는 없다.,인공지능 모델을 이용해서 간단한 학습을 시켜봤다.,사생활 침해,
잘 예방한다면 충분히 막을 수 있다.,거의 없음,내 직업이 변화할 수 도 있지만 크게 문제는 없다.,인공지능은 창작의 영역이기 때문에 규제가 크게 필요하지는 않다.,과학과 역사와 정확한 진실이 필요한 일에 사용해도 큰 무리는 없다.,gpt와 같은 인공지능을 사용해봤다.,윤리적 문제,
인공지능의 위험성이 있지만 생각보다 크지 않을 것이다.,자주,인공지능에 의해 직업을 빼앗기진 않지만 많은 업무를 인공지능이 대신 할 것이다.,인공지능은 창작의 영역이기 때문에 규제가 크게 필요하지는 않다.,간단한 업무를 할때 정도는 신뢰해도 괜찮다고 생각한다.,gpt와 같은 인공지능을 사용해봤다.,인간을 공격,
인공지능의 위험성이 있지만 생각보다 크지 않을 것이다.,가끔,인공지능에 의해 직업을 빼앗기진 않지만 많은 업무를 인공지능이 대신 할 것이다.,인공지능은 창작의 영역이기 때문에 규제가 크게 필요하지는 않다.,간단한 업무를 할때 정도는 신뢰해도 괜찮다고 생각한다.,gpt와 같은 인공지능을 사용해봤다.,사생활 침해,
인공지능의 위험성은 굉장히 클 것 이다.,가끔,인공지능이 내 직업을 빼앗고 실업자가 될 수 있을 수도 있다.,인공지능의 규제는 지금 당장 필요하다.,거짓 정보에 대한 진실을 파악하기가 힘들기 때문에 신뢰하기가 힘들다.,인공지능 모델을 이용해서 간단한 학습을 시켜봤다.,윤리적 문제,
인공지능의 위험성은 굉장히 클 것 이다.,거의 없음,인공지능이 내 직업을 빼앗고 실업자가 될 수 있을 수도 있다.,인공지능의 규제는 지금 당장 필요하다.,거짓 정보에 대한 진실을 파악하기가 힘들기 때문에 신뢰하기가 힘들다.,인공지능 모델을 이용해서 간단한 학습을 시켜봤다.,윤리적 문제,
인공지능의 위험성이 있지만 생각보다 크지 않을 것이다.,거의 없음,인공지능에 의해 직업을 빼앗기진 않지만 많은 업무를 인공지능이 대신 할 것이다.,인공지능은 창작의 영역이기 때문에 규제가 크게 필요하지는 않다.,간단한 업무를 할때 정도는 신뢰해도 괜찮다고 생각한다.,인공지능 모델을 이용해서 간단한 학습을 시켜봤다.,실업률 증가,
인공지능의 위험성이 있지만 생각보다 크지 않을 것이다.,거의 없음,인공지능에 의해 직업을 빼앗기진 않지만 많은 업무를 인공지능이 대신 할 것이다.,인공지능은 창작의 영역이기 때문에 규제가 크게 필요하지는 않다.,간단한 업무를 할때 정도는 신뢰해도 괜찮다고 생각한다.,인공지능 모델을 이용해서 간단한 학습을 시켜봤다.,사생활 침해,
인공지능의 위험성은 굉장히 클 것 이다.,거의 없음,인공지능이 내 직업을 빼앗고 실업자가 될 수 있을 수도 있다.,인공지능의 규제는 지금 당장 필요하다.,과학과 역사와 정확한 진실이 필요한 일에 사용해도 큰 무리는 없다.,실제로 거의 사용해 본적이 없다.,인간을 공격,
잘 예방한다면 충분히 막을 수 있다.,자주,내 직업이 변화할 수 도 있지만 크게 문제는 없다.,인공지능은 창작의 영역이기 때문에 규제가 크게 필요하지는 않다.,과학과 역사와 정확한 진실이 필요한 일에 사용해도 큰 무리는 없다.,gpt와 같은 인공지능을 사용해봤다.,사생활 침해,
잘 예방한다면 충분히 막을 수 있다.,가끔,내 직업이 변화할 수 도 있지만 크게 문제는 없다.,인공지능은 창작의 영역이기 때문에 규제가 크게 필요하지는 않다.,과학과 역사와 정확한 진실이 필요한 일에 사용해도 큰 무리는 없다.,실제로 거의 사용해 본적이 없다.,사생활 침해,
인공지능의 위험성은 굉장히 클 것 이다.,가끔,인공지능이 내 직업을 빼앗고 실업자가 될 수 있을 수도 있다.,인공지능의 규제는 지금 당장 필요하다.,과학과 역사와 정확한 진실이 필요한 일에 사용해도 큰 무리는 없다.,실제로 거의 사용해 본적이 없다.,윤리적 문제,
인공지능의 위험성은 굉장히 클 것 이다.,자주,인공지능이 내 직업을 빼앗고 실업자가 될 수 있을 수도 있다.,인공지능의 규제는 지금 당장 필요하다.,과학과 역사와 정확한 진실이 필요한 일에 사용해도 큰 무리는 없다.,실제로 거의 사용해 본적이 없다.,사생활 침해,
인공지능의 위험성은 굉장히 클 것 이다.,자주,인공지능이 내 직업을 빼앗고 실업자가 될 수 있을 수도 있다.,인공지능의 규제는 지금 당장 필요하다.,과학과 역사와 정확한 진실이 필요한 일에 사용해도 큰 무리는 없다.,gpt와 같은 인공지능을 사용해봤다.,실업률 증가,
잘 예방한다면 충분히 막을 수 있다.,가끔,내 직업이 변화할 수 도 있지만 크게 문제는 없다.,인공지능은 창작의 영역이기 때문에 규제가 크게 필요하지는 않다.,과학과 역사와 정확한 진실이 필요한 일에 사용해도 큰 무리는 없다.,실제로 거의 사용해 본적이 없다.,윤리적 문제,
인공지능의 위험성은 굉장히 클 것 이다.,가끔,인공지능이 내 직업을 빼앗고 실업자가 될 수 있을 수도 있다.,인공지능의 규제는 지금 당장 필요하다.,거짓 정보에 대한 진실을 파악하기가 힘들기 때문에 신뢰하기가 힘들다.,인공지능 모델을 이용해서 간단한 학습을 시켜봤다.,인간을 공격,
인공지능의 위험성은 굉장히 클 것 이다.,자주,인공지능이 내 직업을 빼앗고 실업자가 될 수 있을 수도 있다.,인공지능의 규제는 지금 당장 필요하다.,거짓 정보에 대한 진실을 파악하기가 힘들기 때문에 신뢰하기가 힘들다.,인공지능 모델을 이용해서 간단한 학습을 시켜봤다.,윤리적 문제,
